iter	Passed	Remaining
258	4165	8700
259	4173	8668
260	4183	8639
261	4194	8612
262	4235	8647
263	4245	8619
264	4265	8611
265	4276	8585
266	4287	8559
267	4304	8544
268	4319	8526
269	4333	8507
270	4352	8496
271	4372	8488
272	4391	8477
273	4401	8448
274	4411	8421
275	4421	8395
276	4443	8390
277	4457	8370
278	4466	8340
279	4476	8313
280	4488	8290
281	4508	8281
282	4519	8257
283	4531	8233
284	4551	8224
285	4561	8198
286	4578	8183
287	4588	8157
288	4598	8131
289	4618	8122
290	4636	8110
291	4644	8080
292	4656	8057
293	4666	8031
294	4686	8021
295	4695	7995
296	4707	7972
297	4727	7964
298	4738	7939
299	4748	7914
300	4767	7903
301	4778	7880
302	4789	7855
303	4799	7830
304	4818	7820
305	4839	7813
306	4849	7787
307	4868	7777
308	4877	7750
309	4896	7739
310	4917	7731
311	4927	7707
312	4937	7683
313	4950	7662
314	4963	7641
315	4973	7617
316	4993	7607
317	5003	7583
318	5022	7572
319	5043	7565
320	5054	7542
321	5065	7520
322	5084	7508
323	5104	7498
324	5113	7473
325	5125	7451
326	5136	7429
327	5147	7407
328	5156	7382
329	5166	7358
330	5185	7348
331	5209	7342
332	5225	7328
333	5240	7311
334	5249	7286
335	5259	7263
336	5280	7254
337	5291	7233
338	5302	7210
339	5316	7193
340	5335	7182
341	5345	7158
342	5354	7133
343	5365	7112
344	5377	7091
345	5386	7068
346	5409	7062
347	5419	7039
348	5430	7017
349	5445	7000
350	5464	6989
351	5475	6968
352	5484	6945
353	5495	6923
354	5506	6902
355	5517	6881
356	5547	6883
357	5563	6868
358	5574	6847
359	5583	6824
360	5594	6802
361	5633	6816
362	5644	6795
363	5652	6771
364	5671	6759
365	5680	6735
366	5689	6712
367	5700	6691
368	5717	6678
369	5727	6656
370	5747	6645
371	5758	6625
372	5769	6604
373	5778	6582
374	5788	6560
375	5798	6539
376	5809	6518
377	5830	6509
378	5846	6494
379	5856	6472
380	5866	6452
381	5879	6434
382	5893	6416
383	5901	6393
384	5920	6382
385	5930	6361
386	5947	6347
387	5964	6333
388	5974	6312
389	5984	6291
390	5994	6270
391	6006	6251
392	6016	6231
393	6026	6210
394	6045	6198
395	6065	6188
396	6076	6168
397	6092	6153
398	6105	6136
399	6116	6116
400	6135	6104
401	6144	6083
402	6165	6073
403	6174	6052
404	6194	6041
405	6203	6019
406	6212	5998
407	6230	5986
408	6240	5966
409	6250	5945
410	6270	5934
411	6281	5915
412	6291	5895
413	6301	5875
414	6315	5859
415	6326	5839
416	6335	5818
417	6344	5797
418	6366	5788
419	6377	5770
420	6388	5750
421	6399	5732
422	6409	5712
423	6429	5701
424	6438	5681
425	6449	5662
426	6466	5648
427	6476	5628
428	6491	5614
429	6501	5594
430	6511	5574
431	6524	5557
432	6543	5546
433	6553	5526
434	6573	5515
435	6583	5496
436	6602	5484
437	6625	5475
438	6635	5456
439	6646	5438
440	6657	5419
441	6668	5400
442	6687	5388
443	6697	5369
444	6717	5358
445	6728	5340
446	6738	5321
447	6748	5302
448	6757	5282
449	6770	5265
450	6781	5247
451	6791	5229
452	6802	5210
453	6823	5200
454	6832	5180
455	6842	5161
456	6857	5146
457	6868	5128
458	6877	5109
459	6891	5093
460	6901	5075
461	6912	5057
462	6922	5038
463	6934	5021
464	6943	5002
465	6953	4983
466	6974	4972
467	6984	4954
468	6994	4936
469	7004	4918
470	7014	4899
471	7020	4878
472	7030	4860
473	7040	4842
474	7061	4831
475	7078	4817
476	7088	4800
477	7099	4782
478	7109	4764
479	7119	4746
480	7129	4728
481	7139	4710
482	7158	4698
483	7170	4681
484	7180	4663
485	7194	4647
486	7202	4629
487	7221	4617
488	7230	4598
489	7250	4586
490	7261	4570
491	7290	4563
492	7300	4545
493	7310	4528
494	7329	4516
495	7351	4505
496	7359	4486
497	7380	4475
498	7395	4461
499	7415	4449
500	7425	4431
501	7440	4416
502	7449	4398
503	7470	4387
504	7491	4375
505	7499	4357
506	7508	4339
507	7519	4322
508	7532	4306
509	7542	4288
510	7563	4277
511	7578	4263
512	7588	4245
513	7598	4227
514	7608	4210
515	7618	4193
516	7630	4177
517	7641	4159
518	7651	4142
519	7671	4130
520	7683	4114
521	7703	4102
522	7714	4085
523	7734	4073
524	7744	4056
525	7754	4039
526	7765	4022
527	7775	4005
528	7785	3988
529	7796	3971
530	7806	3954
531	7817	3938
532	7826	3920
533	7846	3908
534	7872	3899
535	7881	3882
536	7900	3869
537	7921	3857
538	7943	3846
539	7964	3834
540	7974	3817
541	7984	3800
542	7994	3783
543	8008	3768
544	8028	3756
545	8045	3742
546	8055	3725
547	8064	3708
548	8084	3696
549	8094	3679
550	8113	3666
551	8124	3650
552	8135	3633
553	8154	3620
554	8164	3604
555	8183	3591
556	8193	3574
557	8204	3558
558	8216	3542
559	8249	3535
560	8258	3518
561	8269	3501
562	8280	3485
563	8290	3469
564	8307	3455
565	8320	3440
566	8329	3423
567	8344	3408
568	8355	3391
569	8364	3375
570	8373	3358
571	8392	3345
572	8404	3329
573	8425	3317
574	8445	3304
575	8456	3288
576	8468	3272
577	8487	3260
578	8506	3246
579	8517	3230
580	8528	3214
581	8548	3201
582	8557	3185
583	8568	3169
584	8578	3152
585	8597	3139
586	8608	3123
587	8628	3110
588	8645	3096
589	8654	3080
590	8674	3067
591	8683	3051
592	8702	3037
593	8712	3021
594	8721	3005
595	8732	2989
596	8745	2973
597	8754	2957
598	8765	2941
599	8774	2924
600	8784	2908
601	8794	2892
602	8815	2879
603	8828	2864
604	8838	2848
605	8849	2833
606	8870	2820
607	8881	2804
608	8902	2792
609	8913	2776
610	8932	2763
611	8943	2747
612	8962	2733
613	8973	2718
614	8983	2702
615	8992	2686
616	9005	2670
617	9015	2654
618	9033	2641
619	9046	2626
620	9055	2610
621	9075	2597
622	9085	2581
623	9100	2566
624	9110	2550
625	9128	2537
626	9139	2521
627	9149	2505
628	9158	2489
629	9168	2474
630	9187	2460
631	9199	2445
632	9218	2432
633	9266	2426
634	9287	2413
635	9307	2399
636	9331	2387
637	9341	2371
638	9350	2356
639	9359	2339
640	9377	2326
641	9386	2310
642	9406	2296
643	9425	2283
644	9435	2267
645	9447	2252
646	9456	2236
647	9468	2221
648	9478	2205
649	9488	2189
650	9499	2174
651	9511	2159
652	9522	2143
653	9543	2130
654	9554	2115
655	9563	2099
656	9572	2083
657	9583	2068
658	9602	2054
659	9612	2039
660	9622	2023
661	9637	2008
662	9646	1993
663	9657	1978
664	9670	1963
665	9683	1948
666	9692	1932
667	9721	1921
668	9733	1906
669	9745	1890
670	9764	1877
671	9774	1861
672	9793	1848
673	9802	1832
674	9822	1818
675	9831	1803
676	9856	1790
677	9865	1775
678	9878	1760
679	9898	1746
680	9907	1731
681	9928	1717
682	9941	1703
683	9953	1688
684	9966	1673
685	9977	1658
686	9988	1643
687	9999	1627
688	10019	1614
689	10029	1598
690	10033	1582
691	10043	1567
692	10057	1552
693	10066	1537
694	10077	1522
695	10097	1508
696	10106	1493
697	10119	1478
698	10133	1464
699	10154	1450
700	10164	1435
701	10174	1420
702	10184	1405
703	10203	1391
704	10215	1376
705	10234	1362
706	10263	1350
707	10293	1337
708	10302	1322
709	10319	1308
710	10338	1294
711	10357	1280
712	10368	1265
713	10388	1251
714	10397	1236
715	10407	1221
716	10419	1206
717	10429	1191
718	10439	1176
719	10449	1161
720	10460	1146
721	10469	1131
722	10488	1117
723	10498	1102
724	10528	1089
725	10537	1074
726	10557	1060
727	10567	1045
728	10587	1031
729	10598	1016
730	10627	1003
731	10645	988
732	10655	973
733	10665	959
734	10676	944
735	10687	929
736	10705	915
737	10714	900
738	10734	886
739	10744	871
740	10752	856
741	10771	841
742	10780	827
743	10790	812
744	10799	797
745	10809	782
746	10831	768
747	10851	754
748	10861	739
749	10870	724
750	10888	710
751	10898	695
752	10908	680
753	10924	666
754	10934	651
755	10944	636
756	10963	622
757	10973	608
758	10985	593
759	11005	579
760	11024	564
761	11038	550
762	11047	535
763	11057	521
764	11070	506
765	11080	491
766	11091	477
767	11100	462
768	11138	449
769	11147	434
770	11159	419
771	11179	405
772	11191	390
773	11201	376
774	11213	361
775	11224	347
776	11234	332
777	11253	318
778	11263	303
779	11283	289
780	11293	274
781	11303	260
782	11314	245
783	11323	231
784	11333	216
785	11355	202
786	11376	187
787	11386	173
788	11396	158
789	11415	144
790	11438	130
791	11447	115
792	11476	101
793	11486	86
794	11499	72
795	11509	57
796	11518	43
797	11538	28
798	11557	14
799	11566	0
